id,Item name*,Category,Current stock,Selling price,Sales tax included,Purchase price,Purchase tax included,HSN,GST tax rate (%),MRP
179b7858-9242-43c3-a674-262b4621a0ed,Kissan Squash 750ml 140.00,,6,134,Without tax,125,Without tax,,0,140
69bf9272-63d3-4071-ae9b-474ed36e0d72,Kissan Sweet & Spicy 500g 105.00,,6,100,With tax,96.33,With tax,,0,105
67cc089f-22fe-4047-9fbc-86de68e35a71,Kissan Tomato Ketchup 1kg 130.00,,12,124,Without tax,116.88,Without tax,,0,130
e61b30e8-5ab3-40f2-a5e3-c74ed1217a17,Kissan Tomato Ketchup 2.00,,50,2,Without tax,1.79,Without tax,,0,2
52e10077-6d09-4cb2-bd66-7b0583bdd5be,Kissan Tomato Ketchup 450g Pichkoo 50.00,,11,48,Without tax,44.95,Without tax,,0,50
4a771809-3547-4c69-8847-3442ae99a23a,Kissan Tomato Ketchup Pichkoo 15.00,,11,15,Without tax,13.35,Without tax,,0,15
67329f75-73e8-4266-b924-767b16e2395b,Kiwi Shoe Shiner 72.00,,6,69,With tax,64.13,With tax,,0,72
2ccfff89-1400-469d-b9fe-4112bf966b7b,Knorr Chicken Soup 70.00,,6,67,Without tax,62.93,Without tax,,0,70
f093b5be-d7c2-4824-9fc7-e9eafb59a4b7,Knorr Chinese Chilli 50.00,,6,48,Without tax,38.79,Without tax,,0,50
0415a22c-d70a-4ab6-9837-c8ace7320941,Knorr Manchurian 50.00,,6,48,Without tax,38.79,Without tax,,0,50
a35fcbf8-2bd1-41b4-8247-345703e32b02,Knorr Schezwan Gravy 50.00,,6,48,Without tax,38.79,Without tax,,0,50
5bd53e49-5dcf-45fc-90a2-2c2c8a0597be,Knorr Schezwan Sauce 55.00,,6,54,With tax,46.42,With tax,,0,55
5f2fdf54-262c-441a-b99b-85a57094228c,Knorr Soup 10.00,,48,10,With tax,8.62,With tax,,0,10
c72b112d-0ee1-419f-92ae-d81980d34cba,Knorr Soup 55.00,,6,54,Without tax,49.45,Without tax,,0,55
